FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2019-11-08,CORPORACION FAVORITA C.A.,ACCIONES,188.0,2.45,188.0,460.6,BVG
2019-11-11,BANCO GUAYAQUIL S.A.,ACCIONES,10483.0,0.85,10483.0,8910.55,BVG
2019-11-11,CORPORACION FAVORITA C.A.,ACCIONES,154.0,2.45,154.0,377.3,BVG
2019-11-12,CORPORACION FAVORITA C.A.,ACCIONES,401.0,2.43,401.0,974.43,BVG
2019-11-13,HOLCIM ECUADOR S.A.,ACCIONES,300.0,58.0,100.0,5800.0,BVG
2019-11-13,CERVECERIA NACIONAL CN S A,ACCIONES,33.0,85.0,33.0,2805.0,BVG
2019-11-13,BANCO GUAYAQUIL S.A.,ACCIONES,11750.0,0.85,11750.0,9987.5,BVG
2019-11-14,BOLSA DE VALORES DE QUITO,ACCIONES,10000.0,1.07,10000.0,10700.0,BVG
2019-11-15,INVERSANCARLOS,ACCIONES,480.0,1.2,480.0,576.0,BVG
2019-11-15,SAN CARLOS SOC. AGR. IND.,ACCIONES,10000.0,0.65,10000.0,6500.0,BVG
2019-11-15,BANCO GUAYAQUIL S.A.,ACCIONES,5000.0,0.84,5000.0,4200.0,BVG
2019-11-15,CORPORACION FAVORITA C.A.,ACCIONES,3500.0,2.42,3500.0,8470.0,BVG
2019-11-18,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1142.0,1.15,1142.0,1313.3,BVG
2019-11-18,HOLCIM ECUADOR S.A.,ACCIONES,87.0,58.0,29.0,1682.0,BVG
2019-11-18,CORPORACION FAVORITA C.A.,ACCIONES,145653.0,2.4,145653.0,349567.2,BVG
2019-11-19,CORPORACION FAVORITA C.A.,ACCIONES,14368.0,2.41,14368.0,34626.88,BVG
2019-11-19,BANCO GUAYAQUIL S.A.,ACCIONES,1850.0,0.83,1850.0,1535.5,BVG
2019-11-20,CONTINENTAL TIRE ANDINA S A,ACCIONES,7033.0,1.0,7033.0,7033.0,BVG
2019-11-20,CORPORACION FAVORITA C.A.,ACCIONES,620.0,2.41,620.0,1494.2,BVG
2019-11-20,BANCO GUAYAQUIL S.A.,ACCIONES,2710.0,0.85,2710.0,2303.5,BVG
2019-11-21,INDUSTRIAS ALES,ACCIONES,7500.0,0.5,7500.0,3750.0,BVG
2019-11-21,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1306.0,0.8,1306.0,1044.8,BVG
2019-11-21,BANCO GUAYAQUIL S.A.,ACCIONES,3477.0,0.86,3477.0,2990.22,BVG
2019-11-21,CORPORACION FAVORITA C.A.,ACCIONES,207.0,2.41,207.0,498.87,BVG
2019-11-22,INVERSANCARLOS,ACCIONES,12648.0,1.18,12648.0,14924.64,BVG
2019-11-22,CORPORACION FAVORITA C.A.,ACCIONES,48.0,2.38,48.0,114.24,BVG
2019-11-22,BANCO GUAYAQUIL S.A.,ACCIONES,14941.0,0.85,14941.0,12699.85,BVG
2019-11-25,CORPORACION FAVORITA C.A.,ACCIONES,1750.0,2.39,1750.0,4182.5,BVG
